model,pathway,scenario,region,variables,unit,2020,2050
image,SSP2-Base,Business As Usual,RER,Share|Biomass|Residues,share,0.5,0.5
image,SSP2-Base,Business As Usual,RER,Share|Biomass|Wood,share,0.5,0.5
image,SSP2-Base,Business As Usual,RER,Share|H2|Wood|CCS,share,0.1,0.1
image,SSP2-Base,Business As Usual,RER,Share|H2|Wood|NoCCS,share,0.1,0.1
image,SSP2-Base,Business As Usual,RER,Share|H2|SteamReforming,share,0.1,0.1
image,SSP2-Base,Business As Usual,RER,Share|H2|AutothermalReforming,share,0.1,0.1
image,SSP2-Base,Business As Usual,RER,Share|H2|Coal|CCS,share,0.1,0.1
image,SSP2-Base,Business As Usual,RER,Share|H2|Coal|NoCCS,share,0.1,0.1
image,SSP2-Base,Business As Usual,RER,Share|H2|Electrolysis,share,0.4,0.4
