model,pathway,scenario,region,variables,unit,2020,2050
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsAT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMK,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMD,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsHR,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsXK,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLU,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsGR,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsIS,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBA,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsEE,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsSK,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsME,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsSI,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsIE,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBE,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsRS,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsRO,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsNL,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsUA,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsPL,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsFR,share,0.054495002582885005,0.059039360677767515
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsGB,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsNO,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsCZ,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsMT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsDK,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsIT,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsLV,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsDE,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsPT,share,0.019989164520977074,0.021656068223985053
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsFI,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsBY,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsGI,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsAL,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsHU,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityHV|ImportsCH,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|TransformationHVMV,share,0.9931640681610796,0.9999999999999999
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|SolarPVRoofCommercial,share,0.006383537375039286,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|Waste,share,0.00045239446388108,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|TransformationMVLV,share,0.9751016097195765,0.8938937559990805
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|BatteryChemical,share,0.0,0.0
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|SolarPVRoofResidential,share,0.024898390280423552,0.10610624400091956
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Coal,share,0.3579119946964526,0.16627821475321355
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|CombinedCycle,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|GasTurbine,share,0.000314222146280802,0.00014598085086197512
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|CogenerationGas,share,0.04113449191302077,0.019110200220806922
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Nuclear,share,0.378521445885025,0.4882223153089694
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Oil,share,0.001395785241595197,0.0006484518026510067
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Geothermal,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|HydroRunofRiver,share,0.0705430844832452,0.09098746823953402
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|HydroReservoir,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Biomass,share,0.0298343178572737,0.03848072519612592
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Biogas,share,0.00372683438291742,0.004806923705331331
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|WindOnshore,share,0.03171340756471335,0.08180880336320136
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|WindOffshore,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|SolarThermal,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|SolarPVOpen,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Hydrogen,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|BatteryHydro,share,0.0109142794961504,0.014077392082979383
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsES,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsBG,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsSE,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsAT,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsMK,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsMD,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsHR,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsXK,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsLU,share,0.0,0.0
